hTeam,vteam,hScore,vScore
Tampa Bay Lightning,NY Islanders Islanders,2,2
St Louis Blues,Detroit Red Wings,6,0
NY Rangers Rangers,St Louis Blues,1,2
Montreal Canadiens,Dallas Stars,2,1
Dallas Stars,Chicago Blackhawks,2,5
St Louis Blues,Vancouver Canucks,2,3
NY Islanders Islanders,Minnesota Wild,0,6
Columbus Blue Jackets,NY Islanders Islanders,5,2
Philadelphia Flyers,Washington Capitals,5,4
Boston Bruins,Ottawa Senators,7,2
Los Angeles Kings,San Jose Sharks,5,2
Toronto Maple Leafs,Montreal Canadiens,1,4
Winnipeg Jets,NY Rangers Rangers,3,1
Dallas Stars,Detroit Red Wings,0,3
Columbus Blue Jackets,Edmonton Oilers,1,3
Washington Capitals,Winnipeg Jets,4,2
Toronto Maple Leafs,Buffalo Sabres,3,3
Pittsburgh Penguins,New Jersey Devils,5,1
Colorado Avalanche,Chicago Blackhawks,3,2
Minnesota Wild,Montreal Canadiens,4,3
Philadelphia Flyers,Ottawa Senators,1,3
New Jersey Devils,Dallas Stars,1,0
Pittsburgh Penguins,NY Rangers Rangers,3,3
New Jersey Devils,Philadelphia Flyers,0,1
Minnesota Wild,Edmonton Oilers,3,3
Toronto Maple Leafs,Philadelphia Flyers,4,3
Montreal Canadiens,Boston Bruins,1,4
San Jose Sharks,Detroit Red Wings,1,1
Ottawa Senators,NY Rangers Rangers,3,0
Columbus Blue Jackets,Los Angeles Kings,3,4
Carolina Hurricanes,Tampa Bay Lightning,4,2
San Diego Sockers,Arizona Coyotes,2,2
Pittsburgh Penguins,St Louis Blues,2,3
Winnipeg Jets,Columbus Blue Jackets,4,0
Pittsburgh Penguins,Carolina Hurricanes,2,1
Edmonton Oilers,San Diego Sockers,2,4
Montreal Canadiens,Minnesota Wild,4,1
Colorado Avalanche,San Jose Sharks,2,2
Arizona Coyotes,Winnipeg Jets,2,6
Ottawa Senators,Boston Bruins,6,4
Columbus Blue Jackets,Philadelphia Flyers,3,2
Colorado Avalanche,Tampa Bay Lightning,5,4
Dallas Stars,San Jose Sharks,3,5
Columbus Blue Jackets,Tampa Bay Lightning,4,7
Tampa Bay Lightning,Columbus Blue Jackets,1,3
Tampa Bay Lightning,Florida Panthers,3,2
San Jose Sharks,Arizona Coyotes,3,3
Chicago Blackhawks,Florida Panthers,2,2
Los Angeles Kings,San Jose Sharks,3,1
Edmonton Oilers,Toronto Maple Leafs,4,1
St Louis Blues,Detroit Red Wings,2,3
Philadelphia Flyers,Buffalo Sabres,2,2
San Jose Sharks,Calgary Flames,0,2
Chicago Blackhawks,Colorado Avalanche,1,4
Los Angeles Kings,New Jersey Devils,3,5
St Louis Blues,NY Islanders Islanders,6,3
San Jose Sharks,Calgary Flames,3,4
San Diego Sockers,Vancouver Canucks,1,1
Columbus Blue Jackets,Buffalo Sabres,4,2
Nashville Predators,Minnesota Wild,2,3
Buffalo Sabres,New Jersey Devils,1,3
Winnipeg Jets,Dallas Stars,4,2
Arizona Coyotes,Minnesota Wild,3,3
Nashville Predators,New Jersey Devils,3,1
Carolina Hurricanes,Pittsburgh Penguins,5,2
Carolina Hurricanes,Boston Bruins,1,1
Philadelphia Flyers,Columbus Blue Jackets,3,4
Washington Capitals,New Jersey Devils,0,1
San Jose Sharks,Dallas Stars,1,5
San Diego Sockers,Vancouver Canucks,2,1
Arizona Coyotes,NY Islanders Islanders,0,1
Minnesota Wild,Winnipeg Jets,4,3
Tampa Bay Lightning,Detroit Red Wings,5,1
Montreal Canadiens,Washington Capitals,4,4
Arizona Coyotes,Winnipeg Jets,4,1
Nashville Predators,Columbus Blue Jackets,2,1
Colorado Avalanche,Toronto Maple Leafs,3,3
Chicago Blackhawks,Nashville Predators,4,4
Dallas Stars,Pittsburgh Penguins,2,1
Florida Panthers,Montreal Canadiens,2,3
Tampa Bay Lightning,NY Islanders Islanders,5,2
Arizona Coyotes,Calgary Flames,0,3
Carolina Hurricanes,NY Rangers Rangers,2,2
Calgary Flames,Philadelphia Flyers,4,1
Arizona Coyotes,Carolina Hurricanes,1,1
San Diego Sockers,San Jose Sharks,0,3
Ottawa Senators,Winnipeg Jets,1,1
Philadelphia Flyers,Carolina Hurricanes,1,3
Vancouver Canucks,San Diego Sockers,2,1
Columbus Blue Jackets,NY Rangers Rangers,5,2
San Jose Sharks,St Louis Blues,2,7
Philadelphia Flyers,Boston Bruins,1,3
Ottawa Senators,Edmonton Oilers,7,2
Chicago Blackhawks,Nashville Predators,2,1
Edmonton Oilers,Arizona Coyotes,1,2
Washington Capitals,Dallas Stars,2,4
Carolina Hurricanes,Columbus Blue Jackets,3,2
Boston Bruins,Minnesota Wild,3,4
Toronto Maple Leafs,Buffalo Sabres,3,3
Winnipeg Jets,Chicago Blackhawks,1,2
Minnesota Wild,Boston Bruins,2,3
Colorado Avalanche,Boston Bruins,2,2
Columbus Blue Jackets,New Jersey Devils,0,2
NY Islanders Islanders,New Jersey Devils,2,2
Ottawa Senators,Vancouver Canucks,4,3
Dallas Stars,Columbus Blue Jackets,2,4
Florida Panthers,Carolina Hurricanes,1,0
Chicago Blackhawks,Dallas Stars,6,2
Dallas Stars,San Jose Sharks,2,5
Columbus Blue Jackets,Detroit Red Wings,0,5
NY Islanders Islanders,Edmonton Oilers,3,2
Edmonton Oilers,San Jose Sharks,1,3
Colorado Avalanche,Los Angeles Kings,2,5
Pittsburgh Penguins,Detroit Red Wings,4,1
Toronto Maple Leafs,Carolina Hurricanes,1,4
Washington Capitals,Pittsburgh Penguins,3,4
San Diego Sockers,Chicago Blackhawks,1,4
Winnipeg Jets,Dallas Stars,2,5
San Jose Sharks,Ottawa Senators,2,4
St Louis Blues,Nashville Predators,1,2
Philadelphia Flyers,Vancouver Canucks,0,4
Tampa Bay Lightning,Edmonton Oilers,3,2
St Louis Blues,Dallas Stars,1,4
Colorado Avalanche,Buffalo Sabres,5,3
Calgary Flames,Florida Panthers,5,6
Minnesota Wild,New Jersey Devils,6,2
Colorado Avalanche,Carolina Hurricanes,4,3
Florida Panthers,NY Islanders Islanders,3,3
Calgary Flames,Vancouver Canucks,3,2
Winnipeg Jets,St Louis Blues,1,1
Nashville Predators,Montreal Canadiens,3,2
Dallas Stars,Philadelphia Flyers,5,6
Nashville Predators,Vancouver Canucks,4,4
Washington Capitals,NY Islanders Islanders,2,2
Tampa Bay Lightning,Philadelphia Flyers,4,3
Carolina Hurricanes,Detroit Red Wings,0,2
Boston Bruins,San Jose Sharks,5,3
Columbus Blue Jackets,St Louis Blues,7,1
Los Angeles Kings,San Diego Sockers,2,2
NY Rangers Rangers,Philadelphia Flyers,5,2
Dallas Stars,Colorado Avalanche,4,4
Detroit Red Wings,Ottawa Senators,4,3
Buffalo Sabres,Detroit Red Wings,2,2
Philadelphia Flyers,Columbus Blue Jackets,4,2
Dallas Stars,Los Angeles Kings,5,4
Arizona Coyotes,Pittsburgh Penguins,1,3
Vancouver Canucks,Dallas Stars,0,2
Calgary Flames,Chicago Blackhawks,3,4
Vancouver Canucks,Arizona Coyotes,0,5
Detroit Red Wings,Buffalo Sabres,6,3
Los Angeles Kings,Calgary Flames,5,3
Colorado Avalanche,Chicago Blackhawks,2,5
Buffalo Sabres,Montreal Canadiens,1,1
Winnipeg Jets,Detroit Red Wings,3,4
Carolina Hurricanes,Dallas Stars,3,5
New Jersey Devils,Toronto Maple Leafs,1,1
NY Islanders Islanders,Chicago Blackhawks,3,2
Montreal Canadiens,Florida Panthers,3,2
Ottawa Senators,Toronto Maple Leafs,3,5
San Diego Sockers,Montreal Canadiens,3,1
Colorado Avalanche,Chicago Blackhawks,3,2
